nom_mpio,NOM_VEREDA,NOM_BARRIO,Count of SISBENIV_PT
AGUA DE DIOS,AGUA FRIA,BARRIO_S4,154
AGUA DE DIOS,IBAÑEZ,BARRIO_S4,300
AGUA DE DIOS,LA ESMERALDA,BARRIO_S4,54
AGUA DE DIOS,MALACHI,BARRIO_S4,57
AGUA DE DIOS,SIN VEREDA,COLOMBO HOLANDES,43
AGUA DE DIOS,SIN VEREDA,CUATRO DE JULIO,152
AGUA DE DIOS,SIN VEREDA,EL CACHO,247
AGUA DE DIOS,SIN VEREDA,HOLANDA,47
AGUA DE DIOS,SIN VEREDA,LAS GRANJAS,371
AGUA DE DIOS,SIN VEREDA,MINUTO DE DIOS,277
AGUA DE DIOS,SIN VEREDA,SAN VICENTE,479
AGUA DE DIOS,SIN VEREDA,SANTA BARBARA,23
AGUA DE DIOS,SIN VEREDA,SIMON BOLIVAR,434
AGUA DE DIOS,SIN VEREDA,URBANIZACION EL PORVENIR,35
AGUA DE DIOS,SIN VEREDA,URBANIZACIÓN SAN AGUSTIN,4
ALBÁN,CHIMBE,BARRIO_S4,350
ALBÁN,EL ENTABLE,BARRIO_S4,159
ALBÁN,PANTANILLO,BARRIO_S4,352
ALBÁN,SAN RAFAEL,BARRIO_S4,63
ALBÁN,SIN VEREDA,LA ESPERANZA,219
ANAPOIMA,SIN VEREDA,BARRIO CENTRO,1125
ANAPOIMA,SIN VEREDA,BARRIO KING RANCH,174
ANAPOIMA,SIN VEREDA,BARRIO NUEVO MILENIO,47
ANAPOIMA,SIN VEREDA,SECTOR LAS PALMAS,113
ANAPOIMA,VEREDA ANDALUCIA,BARRIO_S4,486
ANAPOIMA,VEREDA LA CHICA,BARRIO_S4,585
ANAPOIMA,VEREDA LA ESMERALDA,BARRIO_S4,192
ANAPOIMA,VEREDA LA ESPERANZA,BARRIO_S4,122
ANAPOIMA,VEREDA LUTAIMA,BARRIO_S4,181
ANAPOIMA,VEREDA PALMICHERA,BARRIO_S4,64
ANAPOIMA,VEREDA PANAMA,BARRIO_S4,615
ANAPOIMA,VEREDA PROVIDENCIA MAYOR,BARRIO_S4,76
ANAPOIMA,VEREDA SANTA ROSA,BARRIO_S4,325
ANOLAIMA,BALSILLAS,BARRIO_S4,71
ANOLAIMA,EL DESCANSO,BARRIO_S4,99
ANOLAIMA,EL RETIRO,BARRIO_S4,55
ANOLAIMA,LUCHIMA,BARRIO_S4,29
ANOLAIMA,MONTE LARGO,BARRIO_S4,95
ANOLAIMA,POZO HONDO,BARRIO_S4,81
ANOLAIMA,SAN JUANITO,BARRIO_S4,237
ANOLAIMA,SAN RAFAEL,BARRIO_S4,100
ANOLAIMA,SANTA BARBARA,BARRIO_S4,240
ANOLAIMA,SANTO DOMINGO,BARRIO_S4,463
ANOLAIMA,SIN VEREDA,CENTRO,537
ANOLAIMA,SIN VEREDA,SAN ISIDRO,286
APULO,CACHIMBULO,LA AGRONOMICA,56
APULO,CHARCOLARGO,BARRIO_S4,30
APULO,CHONTADURO,BARRIO_S4,3
APULO,EL COPIAL,LA AGRONOMICA,126
APULO,EL TRUENO,BARRIO_S4,6
APULO,GUACANA,LA AGRONOMICA,287
APULO,LA CEIBA,LA AGRONOMICA,121
APULO,LA HORQUETA,LA AGRONOMICA,14
APULO,LA NAVETA,LA AGRONOMICA,48
APULO,LAS QUINTAS,BARRIO_S4,13
APULO,NARANJAL,LA AGRONOMICA,295
APULO,NARANJAL,SAN JOSE,47
APULO,NARANJAL,SANTA SOFIA,7
APULO,NARANJAL,URBANIZACION BONANZA,19
APULO,NARANJAL,URBANIZACION HOREB,1
APULO,NARANJAL,URBANIZACION LUIS CARLOS GALAN,1
APULO,NARANJAL,URBANIZACION VOLVER A VIVIR,26
APULO,PALENQUE,BARRIO_S4,17
APULO,PALOQUEMAO,LA AGRONOMICA,103
APULO,SALCEDO,LA AGRONOMICA,181
APULO,SANTA ANA,LA AGRONOMICA,38
APULO,SIN VEREDA,AVENIDA COLOMBIA,56
APULO,SIN VEREDA,CENTRO,180
APULO,SIN VEREDA,FATIMA,100
APULO,SIN VEREDA,SAN JOSE,223
APULO,SIN VEREDA,SANTA SOFIA,330
APULO,SIN VEREDA,URBANIZACION BONANZA,192
APULO,SIN VEREDA,URBANIZACION LUIS CARLOS GALAN SARMIENTO,101
APULO,SIN VEREDA,URBANIZACION VOLVER A VIVIR,123
ARBELÁEZ,HATO VIEJO,BARRIO_S4,482
ARBELÁEZ,SAN ANTONIO,BARRIO_S4,523
ARBELÁEZ,SIN VEREDA,CENTENARIO,220
ARBELÁEZ,SIN VEREDA,CENTRO,466
ARBELÁEZ,SIN VEREDA,DIVINO NIÑO,360
ARBELÁEZ,SIN VEREDA,SAN JOAQUIN,421
ARBELÁEZ,SIN VEREDA,URBANIZACION TURIN,61
ARBELÁEZ,SIN VEREDA,VERGEL,78
ARBELÁEZ,SIN VEREDA,VILLA OLIMPICA,21
BELTRÁN,SIN VEREDA,SIN BARRIO,1653
BITUIMA,GUALIVA,SIN BARRIO,94
AGUA DE DIOS,EGIPTO,BARRIO_S4,38
AGUA DE DIOS,EL HOBAL,BARRIO_S4,288
AGUA DE DIOS,IBAÑES,BARRIO_S4,29
AGUA DE DIOS,LAS LOMAS,BARRIO_S4,150
AGUA DE DIOS,MANUEL NORTE,BARRIO_S4,179
AGUA DE DIOS,SAN JOSE,BARRIO_S4,261
AGUA DE DIOS,SIN VEREDA,BARRIO_S4,3
AGUA DE DIOS,SIN VEREDA,CALLE HONDA,246
AGUA DE DIOS,SIN VEREDA,CARIBE ETAPA III,104
AGUA DE DIOS,SIN VEREDA,CENTRO,386
AGUA DE DIOS,SIN VEREDA,GALAN,92
AGUA DE DIOS,SIN VEREDA,MARIA AUXILIADORA,276
AGUA DE DIOS,SIN VEREDA,NUEVA COLOMBIA,149
AGUA DE DIOS,SIN VEREDA,PASEO MOJICA,146
AGUA DE DIOS,SIN VEREDA,SANTA LUCIA,99
AGUA DE DIOS,SIN VEREDA,SOGAMOSO,340
AGUA DE DIOS,SIN VEREDA,URBANIZACION PRIMAVERA,81
ALBÁN,GARBANZAL,BARRIO_S4,252
ALBÁN,GUAYACUNDO ALTO,BARRIO_S4,140
ALBÁN,GUAYACUNDO BAJO,BARRIO_S4,116
ALBÁN,LOS ALPES,BARRIO_S4,256
ALBÁN,NAMAY ALTO,BARRIO_S4,513
ALBÁN,SIN VEREDA,LA ARBOLEDA,280
ANAPOIMA,SECTOR PATIO BONITO,BARRIO_S4,106
ANAPOIMA,SIN VEREDA,BARRIO COMPARTIR,205
ANAPOIMA,SIN VEREDA,BARRIO LA ESTRELLA,234
ANAPOIMA,SIN VEREDA,LAS ACACIAS,45
ANAPOIMA,SIN VEREDA,VILLAS DE ANAPOIMA,4
ANAPOIMA,VEREDA APICATA,BARRIO_S4,352
ANAPOIMA,VEREDA CALICHANA,BARRIO_S4,163
ANAPOIMA,VEREDA EL HIGUERON,BARRIO_S4,417
ANAPOIMA,VEREDA GOLCONDA,BARRIO_S4,260
ANAPOIMA,VEREDA LAS MERCEDES,BARRIO_S4,353
ANAPOIMA,VEREDA PROVIDENCIA GARCIA,BARRIO_S4,492
ANAPOIMA,VEREDA SAN ANTONIO ALTO,BARRIO_S4,269
ANAPOIMA,VEREDA SAN JOSE NORTE,BARRIO_S4,148
ANAPOIMA,VEREDA SANTA ANA,BARRIO_S4,262
ANAPOIMA,VEREDA SANTA BARBARA,BARRIO_S4,44
ANOLAIMA,CAPREA,BARRIO_S4,252
ANOLAIMA,ILO,BARRIO_S4,100
ANOLAIMA,MESITAS DE CABALLERO,BARRIO_S4,285
ANOLAIMA,MILAN,BARRIO_S4,23
ANOLAIMA,SAN AGUSTIN,BARRIO_S4,476
